COMMON_NAME,BLD_ADDRESS,PARCEL_ADDRESS,STRUCTURE_TYPE,WARD,COMMUNITY,GLOBALID,MULTIPOLYGON
BOWNESS PK COMFORT STATION 2,8900 48 AV NW,8900 48 AV NW,WASHROOM,WARD 1,BOWNESS,{E5AFDB1A-D542-4147-9FAF-286EB2692CE3},"MULTIPOLYGON (((-114.2201632 51.0979772, -114.2200716 51.0979835, -114.2200886 51.0980829, -114.2201802 51.0980767, -114.2201632 51.0979772)))"
BAKER PARK COMFORT STATION,9333 SCENIC BOW RD NW,9333 SCENIC BOW RD NW,WASHROOM,WARD 1,SCENIC ACRES,{500D7B24-C7AA-4235-BBB8-637E283CFFB2},"MULTIPOLYGON (((-114.2206521 51.1010746, -114.2206497 51.101074, -114.2205346 51.1010459, -114.2205303 51.1010528, -114.2204946 51.1011107, -114.2206187 51.1011411, -114.2206587 51.1010762, -114.2206521 51.1010746)))"
BOWNESS PK COMFORT STATION 1,8900 48 AV NW,8900 48 AV NW,WASHROOM,WARD 1,BOWNESS,{1F176950-DC3F-43B1-982B-703946626753},"MULTIPOLYGON (((-114.2247107 51.0973907, -114.2247104 51.0974943, -114.2248 51.0974944, -114.2248004 51.0973909, -114.2247718 51.0973908, -114.2247107 51.0973907)))"
BOWNESS PK COMFORT STN YR RND,8900 48 AV NW,8900 48 AV NW,WASHROOM,WARD 1,BOWNESS,{8E88ACE9-057E-46CA-B998-2197909B0750},"MULTIPOLYGON (((-114.2173622 51.0969984, -114.2172825 51.0970025, -114.2172232 51.0970173, -114.2172072 51.0970213, -114.2172152 51.0970417, -114.2172277 51.097074, -114.2173037 51.0970699, -114.2173814 51.0970508, -114.2173785 51.0970429, -114.2173766 51.0970379, -114.2173738 51.09703, -114.2173632 51.0970012, -114.2173622 51.0969984)))"
CALGARY SLOW PITCH SOCIETY WASHROOM NORTH,4334 18 ST NE,4520 16 ST NE,WASHROOM,WARD 10,NORTH AIRWAYS,{7E0D3992-BD43-4C50-AEC4-C2BE6F95DE29},"MULTIPOLYGON (((-114.017967 51.0922151, -114.0179635 51.0922887, -114.0180827 51.092291, -114.0180862 51.0922174, -114.017967 51.0922151)))"
CALGARY INDUSTRIAL SOFTBALL ASSOCIATION WASHROOM,1600 32 AV NE,1600 32 AV NE,WASHROOM,WARD 10,MCCALL,{DC9ABE84-FA6E-4274-AB9E-45AD6D93F8BF},"MULTIPOLYGON (((-114.0173133 51.0880317, -114.0173008 51.0880976, -114.0174427 51.0881083, -114.0174552 51.0880424, -114.0173133 51.0880317)))"
CALGARY SLOW PITCH SOCIETY CONCESSION BUILDING/WASHROOM CENTRE,1600 32 AV NE,1600 32 AV NE,WASHROOM,WARD 10,MCCALL,{9E5459A5-F2D7-496F-91AA-A115A74113AE},"MULTIPOLYGON (((-114.0171316 51.0894699, -114.0169109 51.0894713, -114.016912 51.0895458, -114.0169639 51.0895454, -114.0169649 51.0896118, -114.0170829 51.089611, -114.0170819 51.0895454, -114.0171328 51.0895451, -114.0171316 51.0894699)))"
CALGARY SLOW PITCH SOCIETY WASHROOM SOUTH,1600 32 AV NE,1600 32 AV NE,WASHROOM,WARD 10,MCCALL,{C540EB2A-8451-4B7D-8A86-38B0695C30BF},"MULTIPOLYGON (((-114.0145811 51.0862267, -114.0145807 51.0862393, -114.0144732 51.0862379, -114.0144707 51.0863124, -114.0145789 51.0863138, -114.0145786 51.0863239, -114.014685 51.0863253, -114.0146854 51.0863136, -114.014796 51.086315, -114.0147984 51.0862416, -114.0146863 51.0862401, -114.0146867 51.086228, -114.0145811 51.0862267)))"
VARIETY PARK COMFORT STATION,8935 24 ST SW,8415 24 ST SW,WASHROOM,WARD 11,GLENMORE PARK,{AABBBC9A-2C3C-414B-936C-8D357ABA3131},"MULTIPOLYGON (((-114.1212425 50.9741864, -114.1211899 50.974212, -114.121199 50.9742539, -114.1212617 50.9742691, -114.1213136 50.9742427, -114.1213041 50.9742014, -114.1212425 50.9741864)))"
WEEDON WASHROOM,1900 HERITAGE DR SW,8003R 14 ST SW,WASHROOM,WARD 11,GLENMORE PARK,{9551ED5A-82C2-4A2C-BA04-6171D591D2DD},"MULTIPOLYGON (((-114.1069528 50.9852346, -114.1069405 50.9853088, -114.1070383 50.9853166, -114.1070494 50.9852408, -114.1069528 50.9852346)))"
GLENMORE SEASONAL WASHROOM,8415 24 ST SW,8415 24 ST SW,WASHROOM,WARD 11,GLENMORE PARK,{BC4F082D-014B-49C6-A346-57BC019B1696},"MULTIPOLYGON (((-114.1197388 50.9750442, -114.1197673 50.9750181, -114.1197185 50.9749969, -114.1196817 50.9750307, -114.119663 50.9750225, -114.1196389 50.9750447, -114.1196316 50.9750513, -114.1195952 50.9750848, -114.11965 50.9751086, -114.1196823 50.975079, -114.1196993 50.9750633, -114.1197115 50.9750522, -114.1197241 50.9750577, -114.1197388 50.9750442)))"
GARDEN WASHROOMS,1900 HERITAGE DR SW,8003R 14 ST SW,WASHROOM,WARD 11,GLENMORE PARK,{60B19FA9-F613-4229-9B72-50D4B0A9A234},"MULTIPOLYGON (((-114.1083616 50.9841554, -114.1083579 50.9841725, -114.1083374 50.9841707, -114.1083303 50.9842032, -114.1083553 50.9842054, -114.1083522 50.9842197, -114.1084427 50.9842276, -114.1084435 50.9842238, -114.1084464 50.9842107, -114.1084693 50.9842127, -114.1084768 50.9841781, -114.1084519 50.9841759, -114.1084534 50.9841689, -114.1084546 50.9841635, -114.1084486 50.984163, -114.1083616 50.9841554)))"
HERITAGE BOAT LAUNCH WASHROOM,8047 14 ST SW,8003 14 ST SW,WASHROOM,WARD 11,GLENMORE PARK,{0DFC2108-D548-498E-9188-05E96883884A},"MULTIPOLYGON (((-114.1029925 50.9824036, -114.102902 50.9823618, -114.1028138 50.982438, -114.1029044 50.9824798, -114.1029925 50.9824036)))"
LAKEVIEW LIFT STATION WASHROOMS,7305 CROWCHILD TR SW,7305 CROWCHILD TR SW,WASHROOM,WARD 11,GLENMORE PARK,{164B73A1-59B2-48BE-92BE-81BFACB376BA},"MULTIPOLYGON (((-114.1184066 50.9898375, -114.1184305 50.9898358, -114.1184127 50.9898255, -114.1184175 50.9898106, -114.1183966 50.9898182, -114.1183756 50.9898107, -114.1183805 50.9898256, -114.1183628 50.9898358, -114.1183867 50.9898375, -114.1183967 50.9898513, -114.1184066 50.9898375)))"
NORTH GLENMORE PK COMFORT STN,6705 37 ST SW,7305 CROWCHILD TR SW,WASHROOM,WARD 11,GLENMORE PARK,{9AFDF6C2-DB57-49DF-A35E-65C694F25676},"MULTIPOLYGON (((-114.1381771 50.9922289, -114.1381085 50.9922317, -114.1380626 50.9922478, -114.1380864 50.9922894, -114.1380934 50.9923014, -114.1380782 50.9923076, -114.1380999 50.9923387, -114.138169 50.9923365, -114.1382083 50.992317, -114.1381809 50.992265, -114.1381932 50.9922604, -114.1381891 50.9922524, -114.1381771 50.9922289)))"
NORTH GLENMORE PARK WASHROOM 2,7305 CROWCHILD TR SW,7305 CROWCHILD TR SW,WASHROOM,WARD 11,GLENMORE PARK,{ACDC1993-E406-4854-A464-5CB28AF72E36},"MULTIPOLYGON (((-114.1288562 50.9902436, -114.1288446 50.9902626, -114.1288312 50.990259, -114.12881 50.9902791, -114.1288023 50.990298, -114.1288192 50.990303, -114.1288168 50.9903121, -114.1288874 50.9903279, -114.1288981 50.9903303, -114.1288981 50.9903314, -114.128898 50.990342, -114.1289542 50.9903528, -114.1289898 50.9903171, -114.1289933 50.9902852, -114.1289144 50.9902673, -114.1289163 50.9902562, -114.1288916 50.9902511, -114.1288724 50.990247, -114.1288562 50.9902436)))"
RIVERS EDGE COMFORT STATION,1215 50 AV SW,1215 50 AV SW;1301R 50 AV SW;1411 50 AV SW,WASHROOM,WARD 11,GLENMORE PARK,{F83CD4FE-26A5-45B3-AED3-D345C85FA010},"MULTIPOLYGON (((-114.091539 51.00675, -114.0915364 51.0067667, -114.0915094 51.006765, -114.0915031 51.0068052, -114.0912768 51.006791, -114.0912712 51.0068268, -114.0912169 51.0068234, -114.0912116 51.0068568, -114.0912165 51.0068572, -114.0912748 51.0068608, -114.0912757 51.0068548, -114.0915468 51.0068718, -114.0917105 51.006882, -114.0917294 51.0067619, -114.091539 51.00675)))"
CALGARY RUGBY UNION WASHROOM,9025 SHEPARD RD SE,9025 SHEPARD RD SE,WASHROOM,WARD 12,SHEPARD INDUSTRIAL,{5C4BA9CC-1DAB-4FCE-A6E4-1F98A5554700},"MULTIPOLYGON (((-113.9927765 50.9713868, -113.9926826 50.9714226, -113.9927861 50.9715383, -113.9927928 50.9715359, -113.992882 50.9715041, -113.992879 50.9715007, -113.9927765 50.9713868)))"
MCKENZIE BRT PARK N RIDE & RESTROOM,,68 MCKENZIE TOWNE GA SE,WASHROOM,WARD 12,MCKENZIE TOWNE,{6678DAE8-D5CA-42B3-916B-25269B0224BA},"MULTIPOLYGON (((-113.9577552 50.9156711, -113.9578306 50.9156395, -113.9578033 50.9156134, -113.9577279 50.915645, -113.9577552 50.9156711)))"
DOUGLASGLEN RESTROOM & WAITING AREA,11441 29 ST SE,11441 29 ST SE,WASHROOM,WARD 12,SHEPARD INDUSTRIAL,{29CF1D5C-DF45-45C4-B19D-6F5A5A85E2B8},"MULTIPOLYGON (((-113.996266 50.9516645, -113.9962266 50.9516875, -113.9962961 50.9517343, -113.9963355 50.9517112, -113.996266 50.9516645)))"
